========================================================================
VOCABULARY OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total tokens (running words) : 97,302
Raw vocabulary (types)       : 8,686
Lemma vocabulary (types)     : 7,292
Type–Token Ratio (TTR)       : 0.0893
Reduction after lemmatisation: 1,394 forms

────────────────────────────────────────────────────────────────────────
VOCABULARY — FREQUENCY RANKED (raw tokens)
────────────────────────────────────────────────────────────────────────
Rank  Word                             Count   Cumul.%
  carrier                carriers               carries                carrollton          
  carrots                carry                  carrying               cars                
  cartaria               cartel                 cartons                case                
  cases                  cash                   casing                 casper              
  cast                   castecka               castell                casting             
  castings               castle                 casual                 casualty            
  catalogues             catalysts              catalytic              catch               
  categorically          categories             categorization         category            
  catering               cathay                 cathode                cause               
  caused                 causing                cautious               caverion            
  cayman                 cba                    cbd                    ccs                 
  cdli                   cdma                   cdp                    cds                 
  cease                  cee                    ceilings               celbi               
  celebrated             celebrates             cell                   cellphone           
  cells                  cellular               cellulose              celtnieciba         
  celular                celulose               cement                 cencorp             
  cent                   center                 centers                centimeters         
  central                centralising           centralized            centrally           
  centre                 centres                centricity             cents               
  ceo                    ceramic                ceramics               cerberus            
  cereals                cerner                 certain                certainly           
  certification          certified              cessation              cet                 
  cfo                    cfr                    cfsb                   cgcbv               
  chaim                  chain                  chains                 chairman            
  chairmanship           challenge              challengers            challenges          
  challenging            chamber                chambers               chambersburg        
  chameleon              chance                 change                 changed             
  changes                changing               changshu               channel             
  channels               chapter                characteristics        charge              
  charger                chargers               charges                charging            
  chargz                 charlotte              chart                  charter             
  chartered              charters               charting               chase               
  chassis                cheap                  cheaper                cheapest            
  check                  checkpoint             cheered                cheerful            
  chelyabinsk            chemical               chemicals              chennai             
  chf                    chic                   chicago                chichi              
  chief                  chikunov               child                  children            
  chile                  chilled                china                  chinese             
  chipped                chipping               chips                  chirnside           
  chl                    choice                 cholesterol            choose              
  choosing               chopra                 chore                  chose               
  chosen                 chp                    christian              christine           
  christmas              christopher            chrome                 chs                 
  chu                    chuck                  churned                cidco               
  cider                  ciders                 cido                   cincinnati          
  cinema                 cip                    circle                 circuit             
  circuits               circulating            circulation            cis                 
  cision                 citadele               citi                   cities              
  citigroup              citing                 city                   citycon             
  civil                  cjsc                   claiming               claims              
  clamps                 clarification          clarify                clarity             
  class                  classic                classified             classroom           
  clausen                clean                  cleaning               clear               
  clearer                clearly                clerical               click               
  clicked                clicking               clicks                 client              
  clientele              clients                cliffton               climate             
  climbed                climber                climbers               clinical            
  clock                  close                  closed                 closely             
  closer                 closing                closure                clothes             
  clothing               cloud                  club                   cnl                 
  co                     coagulant              coagulants             coast               
  coasters               coat                   coated                 coating             
  coatings               cobalt                 cockroft               cocktail            
  code                   codetermination        coffee                 cogeneration        
  cohen                  coke                   coker                  cold                
  collaborate            collaboration          collaborative          collar              
  collated               colleagues             collect                collection          
  collective             collects               collins                collisions          
  color                  colorado               colorful               colors              
  colourful              columbia               com                    combination         
  combine                combined               combines               combining           
  come                   comes                  comfort                comfortable         
  comfortably            coming                 commanding             commence            
  commencing             comment                commented              commenting          
  comments               commerce               commercial             commercially        
  commerzbank            commission             commissioned           commissioner        
  commissioning          commit                 commiting              commitment          
  commitments            commits                committed              committee           
  committees             commodities            common                 communal            
  communicated           communication          communications         communities         
  community              compact                compagnie              companies           
  company                companys               comparable             comparative         
  compare                compared               comparison             comparisons         
  compasses              compatible             compatriot             compensated         
  compensation           compete                competence             competencies        
  competency             competing              competition            competitions        
  competitive            competitiveness        competitor             competitors         
  compiling              complement             complemented           complements         
  complete               completed              completely             completes           
  completion             complex                complexes              complexity          
  comply                 complying              compnay                component           
  componenta             components             composite              composites          
  composition            compounds              comprehensive          compression         
  compressors            comprise               comprised              comprises           
  comprising             comptel                compulsory             computer            
  computers              comtex                 concentrate            concentrated        
  concentrating          concentrator           concept                conceptual          
  concern                concerned              concerning             concerns            
  conciliator            concluded              concludes              concrete            
  condition              conditioning           conditions             condominiums        
  conduct                conducted              conducting             confectionery       
  conference             conferences            conferencing           confidence          
  confident              configuration          configured             confirmations       
  confirmed              confirming             conglomerate           congress            
  conjunction            connect                connected              connecting          
  connection             connections            connectivity           connector           
  connects               consecutive            consensus              consent             
  consequence            conservative           consider               considerably        
  consideration          considered             considering            considers           
  consist                consistency            consistent             consisting          
  consists               consolidate            consolidated           consolidating       
  consolidation          consolidations         consortium             conspiracy          
  constantly             constitute             constitutes            construct           
  constructed            construction           constructive           constructor         
  consulate              consultancy            consultant             consultation        
  consulting             consumer               consumers              consumption         
  contact                contacted              contacts               contain             
  contained              container              contains               contempus           
  content                contented              contents               contest             
  contextual             continental            continents             continually         
  continuation           continue               continued              continues           
  continuing             continuous             continuously           contract            
  contracted             contracting            contractor             contractors         
  contracts              contrary               contrast               contribute          
  contributed            contribution           control                controlled          
  controller             controlling            controls               convenience         
  conveniences           convenient             converged              convergence         
  convergent             conversations          conversion             conversions         
  convert                converted              converter              converters          
  convertible            converting             conveying              convinced           
  convincing             cool                   cooling                cooper              
  cooperate              cooperating            cooperation            cooperationand      
  cooperative            coordinate             coordinated            copenhagen          
  copper                 copy                   copying                copyright           
  coq                    core                   corners                cornerstones        
  corp                   corporate              corporation            corporations        
  corpus                 corrected              correlation            corrensponds        
  correspond             corresponding          correspondingly        corresponds         
  corroborate            corrupt                cosco                  coscom              
  cosmetics              cost                   costanza               costly              
  costs                  costumer               could                  council             
  countdown              counter                counterpart            countervalue        
  counties               countries              country                counts              
  couple                 coupled                courier                course              
  court                  courthouse             courtship              covenants           
  cover                  coverage               covered                covering            
  covers                 cowboy                 cowie                  cph                 
  cpps                   cps                    crackers               crafts              
  cramo                  crane                  cranes                 crash               
  crazy                  create                 created                creates             
  creating               creation               creativity             crecent             
  credit                 creditor               crew                   crews               
  crisis                 critch                 criteria               critical            
  criticised             criticising            crore                  cross               
  crosscountry           crossing               crosstown              crowns              
  crucially              crude                  cruise                 cruising            
  crushed                crushing               cry                    crystals            
  cs                     cses                   cto                    cts                 
  cu                     cue                    cukurova               cultivation         
  culture                cumberland             cumerio                cumulative          
  cup                    curators               curbed                 curfew              
  curl                   currencies             currency               current             
  currently              cursors                curve                  cushion             
  custody                custom                 customer               customers           
  customised             customized             customs                cut                 
  cutlery                cuts                   cutter                 cutting             
  cv                     cvc                    cvd                    cvs                 
  cw                     cxe                    cybe                   cybercom            
  cycle                  cyclone                cymed                  czech               
  czechrepublic          d                      dagens                 daily               
  dairy                  dalborg                damage                 damaged             
  damages                damaging               dampened               danish              
  dans                   danske                 dark                   dart                
  dartford               darts                  dash                   data                
  database               date                   dated                  dates               
  dave                   daxtum                 day                    days                
  db                     dc                     dct                    dcuc                
  dd                     de                     deadline               deal                
  dealer                 dealers                dealership             deals               
  dean                   debenture              debt                   debut               
  dec                    decade                 decades                decaliters          
  december               decide                 decided                decision            
  decisions              deck                   decker                 declare             
  decline                declined               declining              decor               
  decoration             decorative             decrease               decreased           
  dedicated              deducted               deemed                 deep                
  deepwater              deer                   deere                  defences            
  defense                defined                definitely             definitive          
  degefors               degeneration           degerfors              degree              
  degridding             deka                   delayed                delegation          
  delhaize               delhi                  delight                delighted           
  delist                 delisted               deliver                delivered           
  deliveries             delivering             delivers               delivery            
  delta                  demand                 demanded               demanding           
  demerger               demographic            demolli                demonstrated        
  demonstrates           demonstrating          demonstration          demonstrations      
  den                    denied                 denies                 denmark             
  denominated            dental                 denver                 deodorization       
  depart                 department             departures             depend              
  depending              depends                deploy                 deployment          
  deposit                depositary             depositor              depository          
  deposits               depot                  depots                 depressed           
  depth                  deputy                 deramus                deregulatory        
  derive                 derived                derives                deriving            
  derogating             desalination           desarrollo             described           
  design                 designated             designation            designed            
  designer               designing              designs                desk                
  desktop                despite                destia                 destinations        
  detached               detail                 detailed               detailing           
  details                detect                 detected               detection           
  detector               determine              determined             determining         
  detroit                deutsche               deutschland            devalue             
  develop                developed              developer              developers          
  developing             development            developments           develops            
  device                 devices                dhabi                  diabetes            
  diagnosed              diagnostic             diagnostics            diagrid             
  dial                   dialing                diameter               diapol              
  dibba                  dictated               did                    die                 
  diego                  diesel                 dietz                  differ              
  difference             different              differentiate          differs             
  difficult              difficulties           digia                  digicel             
  digital                digitalize             digitally              diligence           
  dillon                 diluted                dilution               dimensions          
  diminished             dinh                   dinmukhamet            dinner              
  dino                   dinosaurs              dioxide                dip                 
  diploma                direct                 directed               directive           
  directly               director               directors              directory           
  dirk                   disagree               disagreement           disappear           
  disappeared            disappointing          disappointment         disciplined         
  disclaims              disclose               disclosed              disclosing          
  disclosure             discontinue            discontinued           discount            
  discounted             discovered             discuss                discussed           
  discussion             discussions            dishes                 disk                
  dismissal              dismissed              display                displays            
  disposable             disposal               dispose                dispute             
  dissertations          dissolve               dissolved              distance            
  distinct               distinctive            distinctly             distinguished       
  distributable          distribute             distributed            distributes         
  distribution           distributions          distributor            distributors        
  district               diversified            diversify              divest              
  divested               divestment             divestments            divests             
  divide                 divided                dividend               dividends           
  division               divisional             divisions              djsi                
  dma                    dna                    dnb                    do                  
  docomo                 doctoral               doctors                document            
  documentation          documents              doering                does                
  dog                    dogs                   dohle                  doing               
  dok                    doktas                 dokumculuk             dokumentori         
  dolce                  dollar                 dollars                domain              
  domestic               domestically           dominated              dominating          
  donate                 donation               donations              done                
  dongguan               doobie                 door                   doors               
  dopplr                 doprava                doring                 dormus              
  dose                   doses                  dosing                 double              
  doubled                doubles                doubling               douglas             
  dover                  dovre                  dow                    down                
  downgraded             download               downloadable           downloading         
  downstream             downtown               downturns              dozen               
  dozens                 drafted                dragged                dragonfly           
  drainage               dramatic               dramatically           draught             
  drawing                drawn                  dress                  dried               
  drillisch              drink                  drinking               drinks              
  drive                  driven                 driver                 drivers             
  drives                 driving                drop                   dropped             
  dropping               drought                drug                   drugs               
  dry                    drying                 dt                     du                  
  dubai                  dubbed                 dubna                  duckburg            
  due                    duet                   dukat                  dulai               
  durability             duration               durham                 during              
  dusseldorf             dutch                  duties                 duty                
  dvd                    dwt                    dyed                   dyes                
  dynamic                dynamics               dz                     e                   
  ea                     each                   eads                   eager               
  eagle                  earlier                earliest               early               
  earn                   earned                 earning                earnings            
  earns                  ease                   easier                 easiest             
  east                   easter                 eastern                easy                
  eat                    eataly                 eaten                  eaton               
  eb                     eberl                  ebit                   ebita               
  ebitda                 ebrd                   ebusiness              ecb                 
  eco                    economic               economically           economics           
  economies              economy                ecosystem              ecuador             
  edgar                  edge                   edges                  edging              
  edible                 edita                  editor                 edmonds             
  education              ee                     eek                    eero                
  eesti                  eet                    effect                 effected            
  effective              effectively            effectiveness          effects             
  efficiencies           efficiency             efficient              effluent            
  effort                 efforts                efi                    efore               
  egeszsegbolt           eggs                   egm                    egypt               
  ehitus                 ei                     eidesvik               eigener             
  eight                  eighteen               eijkens                eila                
  einvoices              eiof                   either                 ekaterinburg        
  eklund                 elaborated             elcoteq                elect               
  elected                election               elections              electric            
  electrical             electrically           electricity            electrification     
  electronic             electronically         electronics            elekter             
  elektrobit             elektros               element                elements            
  eletric                elevated               elevator               elevators           
  eleven                 eligible               eliiv                  elimaki             
  elisa                  elite                  ell                    eloholma            
  elqav                  else                   elsewhere              email               
  emailed                embarked               embroiled              emergency           
  emerging               emi                    emirate                emirates            
  emission               emissions              emmy                   emphasis            
  emphasised             emphasises             employ                 employed            
  employee               employees              employer               employers           
  employing              employment             employs                empresa             
  empty                  ems                    emsa                   emt                 
  emtn                   en                     enable                 enables             
  enabling               enclosed               encompassing           encourage           
  end                    ended                  ending                 endorsement         
  endowment              ends                   endustri               enefit              
  energia                energy                 enexis                 eng                 
  engaged                engine                 engineer               engineered          
  engineering            engineers              engines                english             
  enhance                enhanced               enhances               enhancing           
  enjoy                  enough                 enp                    enskilda            
  enso                   ensure                 ensuring               entail              
  enter                  entered                entering               enterprise          
  enterprises            enters                 entertainment          enthusiasm          
  entice                 entire                 entirely               entirety            
  entities               entitle                entitled               entitlement         
  entitlements           entitles               entity                 entreprenad         
  entreprenadmaskiner    entrepreneurs          entreprenor            entry               
  environment            environmental          environmentally        environments        
  envisaged              envisages              eoss                   eou                 
  epa                    ephc                   epi                    eps                 
  eq                     eqt                    equal                  equaling            
  equipment              equipped               equities               equity              
  equivalent             equivalents            er                     era                 
  ercols                 ercs                   erdenet                erection            
  ergo                   ergonomic              eric                   ericsson            
  eriikka                eriksson               erkki                  eronen              
  erp                    errors                 ervi                   ervio               
  es                     esa                    escalator              escalators          
  eseries                esko                   esl                    espana              
  especially             espoo                  espoon                 essar               
  essent                 essential              establish              established         
  establishes            establishing           establishment          estate              
  estimate               estimated              estimates              estimation          
  estimations            estonia                estonian               et                  
  etc                    etera                  ethanol                ethernet            
  ethibel                etsi                   etteplan               etth                
  eu                     eua                    eucalyptus             eukor               
  eur                    euribor                euro                   eurobond            
  eurochem               euronext               europe                 european            
  europolitan            euros                  ev                     evacuate            
  evaluated              evaluation             evaporation            even                
  evening                event                  eventim                events              
  ever                   everest                every                  everyday            
  everything             everywhere             evidence               evident             
  evidentiary            evil                   evli                   evolving            
  evp                    evraz                  exactly                examines            
  examining              example                exceed                 exceeded            
  exceeds                excellence             excellent              excellently         
  except                 excerpt                excess                 excessive           
  exchange               exchanges              excise                 excited             
  exciting               excluding              exclusive              execute             
  executed               executing              execution              executive           
  executives             exel                   exempted               exempting           
  exercise               exercising             exert                  exhibition          
  exist                  existing               exists                 exit                
  expand                 expandable             expanded               expanding           
  expands                expansion              expect                 expectations        
  expected               expecting              expects                expenditure         
  expenditures           expense                expenses               expensive           
  experience             experiences            experiencing           experimenting       
  expert                 expertise              experts                expire              
  expired                expires                explained              explains            
  exploited              exploits               exploration            explore             
  exploring              explosively            expo                   export              
  exported               exporter               exporters              exporting           
  exports                exposure               express                expressed           
  expression             expressly              ext                    extend              
  extended               extending              extends                extension           
  extensive              extensively            extent                 exterior            
  external               extra                  extract                extracted           
  extraction             extraordinary          extremely              extrusion           
  eye                    eyes                   f                      fab                 
  fabric                 fabrication            fabrics                facades             
  face                   facilitate             facilitates            facilities          
  facility               facing                 fact                   factor              
  factories              factors                factory                facts               
  faculty                failed                 failure                fair                
  fairly                 fall                   fallen                 faller              
  fallers                falling                falls                  familiar            
  families               family                 fancy                  fantastic           
  fantuzzi               far                    farm                   farmer              
  farms                  fashion                fast                   fasten              
  faster                 fastest                fat                    fats                
  favor                  favorable              favorite               favors              
  favourable             favourably             fcc                    fcu                 
  fears                  feasibility            feasible               feature             
  featured               features               featuring              feb                 
  february               federal                federation             fee                 
  feed                   feedback               feeders                feedstock           
  feedstocks             feel                   feeling                feels               
  fees                   feet                   fell                   felled              
  felt                   femto                  fencing                fenestra            
  fennia                 fennovoima             ferguson               ferries             
  ferry                  ferryboats             fertilizer             fesco               
  few                    fewer                  fgvoip                 fh                  
  fi                     fiber                  fibers                 fidelity            
  field                  fields                 fierce                 fifth               
  fiftieth               fight                  figure                 figures             
  file                   filed                  files                  filing              
  filipino               filippova              filling                film                
  filmiteollisuus        filter                 filters                filtrates           
  fim                    fimentor               final                  finale              
  finalize               finalized              finance                financed            
  financement            finances               financial              financially         
  financialwire          financing              financings             finans              
  finbow                 fincantieri            find                   findest             
  finding                findings               finds                  fine                
  fined                  finieris               finish                 finished            
  finisher               finishing              finlan                 finland             
  finnair                finncomm               finnegans              finnfund            
  finnish                finnishness            finnlines              finns               
  finton                 fire                   fired                  fireplace           
  fireplaces             firm                   firmed                 firms               
  first                  firstalert             firstquarter           fisas               
  fiscal                 fischer                fish                   fisher              
  fishing                fiskars                fit                    fitch               
  fitness                fits                   fitzgerald             five                
  fixed                  fixing                 fki                    fl                  
  flag                   flagging               flagship               flange              
  flat                   flatiron               fleet                  flew                
  flex                   flexi                  flexibility            flexible            
  flexiblebaseloadoperation   flexibly               flies                  flight              
  flights                float                  flock                  floor               
  floorball              flooring               floorings              floors              
  floral                 florida                flow                   flsmidth            
  fluctuated             fluctuation            fluid                  flurry              
  flying                 flykt                  focus                  focused             
  focuses                focusing               folded                 folding             
  follow                 followed               following              follows             
  follum                 foncier                food                   foods               
  foodservice            foot                   footwear               for                 
  force                  forced                 ford                   forecast            
  forecasting            forecasts              foreign                foremost            
  foresees               forest                 forestal               forestries          
  forestry               forests                forever                forging             
  fork                   form                   forma                  formadehyde         
  formal                 format                 formation              formations          
  formed                 former                 formerly               forming             
  forms                  formwork               forssa                 forssan             
  forthcoming            fortitude              fortum                 fortuna             
  fortune                forum                  forums                 forward             
  forwarded              forwarders             forwarding             forwards            
  found                  foundation             foundations            founded             
  founder                founders               foundries              foundry             
  four                   fourth                 fox                    fr                  
  fradkov                fragmented             frame                  framework           
  framing                franc                  france                 franchise           
  franchising            francisco              frank                  frankfurt           
  franklin               fray                   fredrik                free                
  freenet                freezing               frei                   freight             
  freighters             fremantlemedia         french                 frenzy              
  frequencies            frequency              frequent               fresh               
  friday                 fridays                friedlander            friend              
  friendly               friends                friman                 frn                 
  froh                   frolov                 from                   front               
  fronts                 frost                  frozen                 fruit               
  ft                     ftse                   fttb                   ftth                
  fttx                   fuel                   fueled                 fuels               
  fujairah               fujitsu                fulfil                 fulfill             
  fulfilled              fulfilling             fulfillment            fulfilment          
  full                   fully                  fun                    function            
  functionalities        functionality          functioning            functions           
  fund                   fundamentals           funded                 funding             
  funds                  furlough               furnace                furnaces            
  furniture              further                furthermore            furusund            
  fusing                 future                 futures                fzc                 
  g                      gabbana                gain                   gained              
  gains                  galeria                galerie                gallerix            
  gallup                 galvan                 gama                   gambling            
  gambro                 game                   games                  gaming              
  gansu                  gantry                 gap                    garage              
  garden                 gardening              garmin                 garner              
  garry                  gartner                gas                    gasco               
  gasconversions         gasoline               gatehouse              gateway             
  gather                 gathered               gave                   gavrilov            
  gawker                 gdf                    gdp                    ge                  
  gear                   gearing                geberit                geenrated           
  gemalto                general                generally              generate            
  generated              generates              generating             generation          
  generator              generators             genesis                genetically         
  geneva                 genius                 genuine                genvec              
  geographic             geographical           geographically         geographies         
